# Item Surfaces
0 Data/Textures/Items/stick.png
1 Data/Textures/Items/shirt.png
2 Data/Textures/Items/pants.png
3 Data/Textures/Items/gloves.png
4 Data/Textures/Items/boots.png
5 Data/Textures/Items/ring.png
6 Data/Textures/Items/wizard_hat.png
7 Data/Textures/Items/green_tunic.png
8 Data/Textures/Items/green_pants.png
9 Data/Textures/Items/redberry.png
10 Data/Textures/Items/blueberry.png
11 Data/Textures/Items/greenberry.png
12 Data/Textures/Items/orangeberry.png
13 Data/Textures/Items/purpleberry.png
14 Data/Textures/Items/pitchfork.png
15 Data/Textures/Items/farmer_hat.png
