# Object Surfaces
0 Data/Textures/Objects/tree.png
1 Data/Textures/Objects/stump.png
2 Data/Textures/Objects/bush.png
3 Data/Textures/Objects/house.png
4 Data/Textures/Objects/post.png
5 Data/Textures/Objects/logs.png
6 Data/Textures/Objects/log.png
7 Data/Textures/Objects/wood_wall.png
8 Data/Textures/Objects/log2.png
9 Data/Textures/Objects/tent.png
10 Data/Textures/Objects/table.png
11 Data/Textures/Objects/campfire.png
12 Data/Textures/Objects/chest.png
13 Data/Textures/Objects/lantern.png
14 Data/Textures/Objects/steel_button.png
15 Data/Textures/Objects/steel_bars.png
16 Data/Textures/Objects/ladder.png
17 Data/Textures/Objects/plant.png
18 Data/Textures/Objects/plant2.png
19 Data/Textures/Objects/well.png
